aqi,pm25,pm10,co,no2,o3,t,h,p,w,temp_sensor,humidity_sensor,mq135_raw
83,83,99.6,0.1,21.8,98.8,33.0,72.5,1002,1.8,33.6,68.4,1071.0
83,83,99.6,0.1,21.8,98.8,33.0,72.5,1002,1.8,33.6,68.4,1075.0
83,83,99.6,0.1,21.8,98.7,33.0,72.5,1002,1.8,33.6,68.5,1077.0
83,83,99.6,0.1,21.8,98.7,33.0,72.5,1002,1.8,33.6,68.5,1076.0
83,83,99.6,0.1,21.8,98.7,33.0,72.5,1002,1.8,33.6,68.5,1071.0
83,83,99.6,0.1,21.8,98.7,33.0,72.5,1002,1.8,33.6,68.5,1075.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1077.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1075.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1075.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1071.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1075.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1071.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1071.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1069.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1069.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1067.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1067.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1066.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1063.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1062.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1060.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1063.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1060.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1056.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1055.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1053.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1049.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1048.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1049.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1047.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1047.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1047.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1045.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1042.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1042.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1039.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1039.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1036.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1035.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1035.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1034.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1036.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1037.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1035.0
83,83,99.6,0.1,21.85,98.80000000000001,33.0,72.5,1002,1.8,33.7,68.6,1035.0
83,83,99.6,0.1,21.85,98.80000000000001,33.0,72.5,1002,1.8,33.7,68.6,1039.0
83,83,99.6,0.1,21.85,98.80000000000001,33.0,72.5,1002,1.8,33.7,68.6,1037.0
83,83,99.6,0.1,21.85,98.80000000000001,33.0,72.5,1002,1.8,33.7,68.6,1037.0
83,83,99.6,0.1,21.85,98.80000000000001,33.0,72.5,1002,1.8,33.7,68.6,1039.0
83,83,99.6,0.1,21.85,98.80000000000001,33.0,72.5,1002,1.8,33.7,68.6,1039.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1035.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1036.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1035.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1032.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1033.0
83,83,99.6,0.1,21.8,98.5,33.0,72.5,1002,1.8,33.6,68.7,1034.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1031.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1033.0
83,83,99.6,0.1,21.8,98.60000000000001,33.0,72.5,1002,1.8,33.6,68.6,1032.0
