local_time,timestamp,aqi,pm25,pm10,co,no2,o3,t,h,p,w
2025-07-16 14:46:16,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:46:27,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:46:37,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:46:48,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:46:58,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:47:09,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:47:19,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:47:29,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:47:40,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:47:51,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:48:01,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:48:11,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:48:22,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:48:32,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:48:43,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:48:53,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:49:04,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:49:14,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:49:25,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:49:35,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:49:46,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:49:56,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:50:06,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:50:17,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:50:27,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:50:38,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:50:48,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:50:59,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:51:09,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:51:20,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:51:30,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
2025-07-16 14:51:40,2025-07-16 14:00:00,83,83,,0.1,,,33,72.5,1002,1.8
